City,Customer_Age,Customer_Name,Customer_Segment,Discount,Order_Date,Order_ID,Order_Priority,Order_Quantity,Product_Base_Margin,Product_Category,Product_Name,Product_Sub_Category,Profit,Region,Sales,State,Unit_Price,Zip_Code
Monroeville,59,Kalyca Meade,Corporate,0.07,11/18/2014,21859,High,42,0.41,Furniture,Staples 10 Round Wall Clock,Office Furnishings,13.31,East,401.37,Pennsylvania,9.74,15146
Baldwin,44,Pete Takahito,Corporate,0.05,11/4/2012,34883,Critical,31,0.38,Technology,Accessory41,Telephones and Communication,248.67,East,906.015,Pennsylvania,35.99,15234
Baldwin,61,Pete Takahito,Corporate,0.04,2/2/2015,22916,Medium,18,0.37,Office Supplies,Xerox 1997,Paper,-115,East,122.02,Pennsylvania,6.48,15234
Baldwin,74,Pete Takahito,Corporate,0.09,11/10/2015,57699,Low,20,0.43,Furniture,Eldon® Wave Desk Accessories,Office Furnishings,-72.23,East,43.94,Pennsylvania,2.08,15234
Baldwin,74,Pete Takahito,Corporate,0.08,11/10/2015,57699,Low,36,0.38,Office Supplies,"Tyvek Interoffice Envelopes, 9 1/2 x 12 1/2, 100/Box",Envelopes,485.02,East,2160.83,Pennsylvania,60.98,15234
Baldwin,74,Pete Takahito,Corporate,0.09,11/10/2015,57699,Low,47,0.44,Technology,"Imation Printable White 80 Minute CD-R Spindle, 50/Pack",Computer Peripherals,752.96,East,1857.88,Pennsylvania,40.98,15234
Penn Hills,46,Lena Creighton,Corporate,0.01,2/19/2013,25091,Medium,4,0.37,Office Supplies,GBC Recycled Grain Textured Covers,Binders and Binder Accessories,-25.4265,East,156.97,Pennsylvania,34.54,15235
Penn Hills,65,Lena Creighton,Corporate,0.1,5/3/2015,22951,Medium,24,0.6,Technology,StarTAC Analog,Telephones and Communication,34.362,East,1304.0275,Pennsylvania,65.99,15235
Plum,51,Maureen Fritzler,Corporate,0.04,12/11/2013,6053,Medium,4,0.38,Office Supplies,Durable Pressboard Binders,Binders and Binder Accessories,-3.749,East,16.08,Pennsylvania,3.8,15239
Plum,61,Maureen Fritzler,Corporate,0.07,2/4/2015,7072,Critical,29,0.36,Office Supplies,GBC Standard Plastic Binding Systems Combs,Binders and Binder Accessories,-15.962,East,258.61,Pennsylvania,8.85,15239
Plum,64,Maureen Fritzler,Corporate,0.1,4/17/2015,22688,Medium,40,0.56,Technology,2190,Telephones and Communication,334.53,East,2044.2755,Pennsylvania,65.99,15239
Sharon,44,Mark Cousins,Corporate,0.09,11/20/2012,40965,Medium,48,0.55,Furniture,Hon Non-Folding Utility Tables,Tables,-385.004477,East,7227.42,Pennsylvania,159.31,16146
Sharon,44,Mark Cousins,Corporate,0.06,11/20/2012,40965,Medium,39,0.83,Technology,Accessory36,Telephones and Communication,-139.843,East,1836.187,Pennsylvania,55.99,16146
Sharon,47,Mark Cousins,Corporate,0.07,5/31/2013,41476,High,48,0.82,Office Supplies,"Super Bands, 12/Pack",Rubber Bands,-104.8,East,92.25,Pennsylvania,1.86,16146
Sharon,65,Mark Cousins,Corporate,0.02,5/26/2015,44768,Not Specified,45,0.64,Furniture,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Chairs & Chairmats,3083.98,East,16699.56,Pennsylvania,355.98,16146
Sharon,66,Mark Cousins,Corporate,0.09,6/22/2015,49255,High,20,,Furniture,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",Bookcases,-102.3,East,1357.44,Pennsylvania,70.98,16146
Harrisburg,41,Jim Sink,Corporate,0.05,7/24/2012,34087,Low,31,0.57,Technology,636,Telephones and Communication,745.479,East,3077.731,Pennsylvania,115.99,17112
Harrisburg,44,Jim Sink,Corporate,0.09,12/1/2012,39844,Not Specified,47,0.79,Office Supplies,Fellowes Stor/Drawer® Steel Plus™ Storage Drawers,Storage & Organization,-286.47,East,4387.24,Pennsylvania,95.43,17112
Harrisburg,45,Jim Sink,Corporate,0.01,1/25/2013,34785,Critical,45,0.71,Furniture,Bretford CR8500 Series Meeting Room Furniture,Tables,-969.048366,East,15468.216,Pennsylvania,400.98,17112
Harrisburg,51,Jim Sink,Corporate,0.05,12/4/2013,40800,Not Specified,41,0.37,Office Supplies,Xerox 216,Paper,-175.26,East,260.31,Pennsylvania,6.48,17112
Harrisburg,59,Jim Sink,Corporate,0.04,11/30/2014,19523,High,44,0.39,Office Supplies,"Telephone Message Books with Fax/Mobile Section, 4 1/4 x 6",Paper,-10,East,155.78,Pennsylvania,3.6,17112
Bethlehem,62,Don Weiss,Corporate,0,3/10/2015,24707,Medium,14,0.59,Furniture,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Office Furnishings,761.04,East,1961.39,Pennsylvania,136.98,18018
Bethlehem,62,Don Weiss,Corporate,0.1,3/10/2015,24707,Medium,3,0.37,Office Supplies,Binder Clips by OIC,Rubber Bands,-1.76,East,4.94,Pennsylvania,1.48,18018
Drexel Hill,48,Beth Thompson,Corporate,0.04,7/31/2013,22151,High,20,0.39,Office Supplies,GBC Standard Therm-A-Bind Covers,Binders and Binder Accessories,9.8175,East,515.37,Pennsylvania,24.92,19026
Radnor,47,Maureen Fritzler,Corporate,0.07,6/16/2013,54407,Medium,24,0.35,Office Supplies,GBC DocuBind 200 Manual Binding Machine,Binders and Binder Accessories,3857.572,East,9396.27,Pennsylvania,420.98,19087
Radnor,48,Maureen Fritzler,Corporate,0.02,7/3/2013,49221,Not Specified,41,0.37,Office Supplies,Xerox 20,Paper,-103.28,East,277.35,Pennsylvania,6.48,19087
Radnor,48,Maureen Fritzler,Corporate,0.04,7/3/2013,49221,Not Specified,22,0.4,Technology,Canon P1-DHIII Palm Printing Calculator,Office Machines,-15.4164,East,399.64,Pennsylvania,17.98,19087
Radnor,54,Maureen Fritzler,Corporate,0.02,4/22/2014,39268,Not Specified,44,0.39,Office Supplies,"Wilson Jones Hanging View Binder, White, 1",Binders and Binder Accessories,-89.746,East,324.2,Pennsylvania,7.1,19087
Radnor,54,Maureen Fritzler,Corporate,0.1,4/22/2014,39268,Not Specified,45,0.83,Office Supplies,Rubber Band Ball,Rubber Bands,-32.52,East,156.95,Pennsylvania,3.74,19087
Norristown,58,Lena Creighton,Corporate,0.08,11/10/2014,6432,Critical,30,0.59,Office Supplies,Belkin 6 Outlet Metallic Surge Strip,Appliances,-38.45,East,311.08,Pennsylvania,10.89,19401
King of Prussia,46,Benjamin Patterson,Corporate,0.05,2/26/2013,55394,Critical,21,0.76,Furniture,Anderson Hickey Conga Table Tops & Accessories,Tables,11.65095,East,340.7,Pennsylvania,15.23,19406
King of Prussia,71,Benjamin Patterson,Corporate,0.01,10/23/2015,48902,Medium,7,0.37,Office Supplies,Xerox 220,Paper,-28.88,East,53.29,Pennsylvania,6.48,19406
Fairfax,45,Maribeth Schnelling,Corporate,0.02,2/4/2013,18055,Critical,3,0.36,Office Supplies,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Paper,-9.61,South,19.98,Virginia,4.98,20151
Fairfax,68,Maribeth Schnelling,Corporate,0.08,8/27/2015,1504,Medium,31,0.41,Technology,TDK 4.7GB DVD-R,Computer Peripherals,64.22,South,293.18,Virginia,10.01,20151
Herndon,57,Tracy Collins,Corporate,0.1,9/19/2014,22210,Critical,37,0.38,Office Supplies,"Snap-A-Way® Black Print Carbonless Speed Message, No Reply Area, Duplicate",Paper,385.63,South,1033.44,Virginia,29.14,20170
Camp Springs,56,Dave Hallsten,Corporate,0.05,6/25/2014,7846,Low,12,0.41,Furniture,Regeneration Desk Collection,Office Furnishings,-33.61,East,26.33,Maryland,1.76,20746
Camp Springs,56,Dave Hallsten,Corporate,0.09,6/25/2014,7846,Low,47,0.4,Office Supplies,Catalog Binders with Expanding Posts,Binders and Binder Accessories,499.273,East,2926.33,Maryland,67.28,20746
Camp Springs,56,Dave Hallsten,Corporate,0.1,6/25/2014,7846,Low,20,0.36,Office Supplies,Economy Binders,Binders and Binder Accessories,-10.2235,East,40.05,Maryland,2.08,20746
Camp Springs,56,Dave Hallsten,Corporate,0.01,6/25/2014,7846,Low,20,0.75,Technology,"Micro Innovations Micro 3000 Keyboard, Black",Computer Peripherals,-64.82,East,552.87,Maryland,26.31,20746
Camp Springs,65,Darren Budd,Corporate,0,5/16/2015,58145,Medium,33,0.74,Furniture,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Office Furnishings,46.21,East,203.49,Maryland,5.84,20746
Camp Springs,76,Dave Hallsten,Corporate,0.07,11/30/2015,614,High,24,0.74,Furniture,Balt Split Level Computer Training Table,Tables,-335.317125,East,3366.1,Maryland,138.75,20746
Camp Springs,76,Dave Hallsten,Corporate,0,11/30/2015,614,High,41,0.49,Furniture,Nu-Dell Leatherette Frames,Office Furnishings,163.81,East,628.22,Maryland,14.34,20746
Edgewood,41,Pete Takahito,Corporate,0.01,6/11/2012,5155,High,14,0.7,Technology,Microsoft Natural Keyboard Elite,Computer Peripherals,-38.51,East,569.21,Maryland,39.98,21040
Edgewood,44,Michelle Tran,Corporate,0.01,10/29/2012,52291,Critical,5,0.57,Technology,Accessory25,Telephones and Communication,-72.402,East,88.315,Maryland,20.99,21040
Edgewood,44,Michelle Tran,Corporate,0.04,10/29/2012,52291,Critical,48,0.6,Office Supplies,Newell 315,Pens & Art Supplies,57.28,East,287.54,Maryland,5.98,21040
Edgewood,46,Pete Takahito,Corporate,0.06,4/5/2013,7936,Low,50,0.61,Furniture,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Bookcases,-868.88,East,2851.17,Maryland,58.14,21040
Edgewood,46,Pete Takahito,Corporate,0.06,4/5/2013,7936,Low,15,0.57,Office Supplies,Eldon Simplefile® Box Office®,Storage & Organization,-41.86,East,183.43,Maryland,12.44,21040
Glen Burnie,46,Ross DeVincentis,Corporate,0.07,3/27/2013,10919,High,42,0.83,Office Supplies,Tennsco Industrial Shelving,Storage & Organization,-1231.87,East,2040.95,Maryland,48.91,21061
Glen Burnie,61,Ross DeVincentis,Corporate,0.06,1/24/2015,44647,Low,47,0.6,Furniture,Global Troy™ Executive Leather Low-Back Tilter,Chairs & Chairmats,6888.36,East,23239.96,Maryland,500.98,21061
Odenton,41,Vivian Mathis,Corporate,0.01,6/2/2012,2150,Medium,21,0.76,Furniture,"Bevis Round Conference Table Top, X-Base",Tables,55.30185,East,3905.75,Maryland,179.29,21113
Crofton,43,Michelle Tran,Corporate,0.08,9/30/2012,4708,Critical,29,0.37,Office Supplies,Xerox 220,Paper,-119.32,East,180.38,Maryland,6.48,21114
Crofton,46,Michelle Tran,Corporate,0.1,3/24/2013,5414,Not Specified,14,0.66,Office Supplies,Acco Perma® 3000 Stacking Storage Drawers,Storage & Organization,-27.08,East,284.62,Maryland,20.98,21114
Randallstown,48,Carol Adams,Corporate,0.1,6/28/2013,2307,Low,32,0.39,Office Supplies,Avery Hanging File Binders,Binders and Binder Accessories,40.851,East,182.33,Maryland,5.98,21133
Randallstown,55,Bradley Nguyen,Corporate,0.07,5/9/2014,13730,High,26,0.64,Furniture,Bevis Round Conference Table Top & Single Column Base,Tables,-354.1252,East,3617.64,Maryland,146.34,21133
Reisterstown,57,Carol Adams,Corporate,0.06,8/15/2014,54659,High,38,0.37,Office Supplies,Xerox 1977,Paper,-41.98,East,262.9,Maryland,6.68,21136
Reisterstown,64,Carol Adams,Corporate,0,4/8/2015,54370,Not Specified,49,0.52,Technology,US Robotics 56K V.92 External Faxmodem,Computer Peripherals,1041.28,East,4968.5,Maryland,99.99,21136
Dundalk,42,Cynthia Delaney,Corporate,0.09,8/22/2012,44196,Not Specified,12,0.57,Technology,3390,Telephones and Communication,-83.468,East,653.786,Maryland,65.99,21222
Dundalk,42,Helen Wasserman,Corporate,0.06,9/11/2012,10629,Critical,39,0.59,Furniture,Westinghouse Clip-On Gooseneck Lamps,Office Furnishings,-255.65,East,341.55,Maryland,8.37,21222
Dundalk,42,Helen Wasserman,Corporate,0.09,9/11/2012,10629,Critical,14,0.37,Office Supplies,Xerox 1996,Paper,-76.54,East,98.37,Maryland,6.48,21222
Dundalk,51,Helen Wasserman,Corporate,0.01,12/3/2013,19139,Not Specified,15,0.36,Office Supplies,Xerox 193,Paper,-26.66,East,94.84,Maryland,5.98,21222
Dundalk,54,Cynthia Delaney,Corporate,0.1,4/21/2014,40454,Not Specified,43,0.58,Office Supplies,"Boston School Pro Electric Pencil Sharpener, 1670",Pens & Art Supplies,22.71,East,1243.88,Maryland,30.98,21222
Annapolis,61,Tom Stivers,Corporate,0,1/23/2015,41441,Medium,41,0.36,Office Supplies,"Acco Pressboard Covers with Storage Hooks, 14 7/8 x 11, Light Blue",Binders and Binder Accessories,-108.2035,East,221.08,Maryland,4.91,21403
Cumberland,67,Michelle Tran,Corporate,0.01,8/9/2015,9347,Low,31,0.59,Office Supplies,"Hoover Replacement Belts For Soft Guard™ & Commercial Ltweight Upright Vacs, 2/Pk",Appliances,-107.98,East,131.2,Maryland,3.95,21501
Hagerstown,61,Ross DeVincentis,Corporate,0.05,1/24/2015,44647,Low,24,0.57,Office Supplies,Recycled Eldon Regeneration Jumbo File,Storage & Organization,-36.76,East,302.91,Maryland,12.28,21740
Montclair,43,Bruce Stewart,Corporate,0,10/21/2012,58693,Low,50,0.37,Office Supplies,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2 x 11",Binders and Binder Accessories,-126.684,South,876.64,Virginia,15.99,22025
Montclair,49,Bruce Stewart,Corporate,0.02,9/5/2013,36449,Not Specified,43,0.49,Furniture,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",Office Furnishings,255.03,South,927.82,Virginia,20.24,22025
Montclair,49,Bruce Stewart,Corporate,0.09,9/5/2013,36449,Not Specified,27,0.8,Office Supplies,Plymouth Boxed Rubber Bands by Plymouth,Rubber Bands,-6.69,South,123.37,Virginia,4.71,22025
Tysons Corner,42,Aleksandra Gannaway,Corporate,0.03,9/1/2012,47173,Not Specified,41,0.6,Technology,Bell Sonecor JB700 Caller ID,Telephones and Communication,-128.436,South,277.0745,Virginia,7.99,22102
Tysons Corner,51,Aleksandra Gannaway,Corporate,0.01,11/22/2013,41186,High,13,0.39,Office Supplies,"Staples #10 Laser & Inkjet Envelopes, 4 1/8 x 9 1/2, 100/Box",Envelopes,54.91,South,142.12,Virginia,9.78,22102
Tysons Corner,60,Aleksandra Gannaway,Corporate,0.01,12/18/2014,50657,High,40,0.36,Office Supplies,GBC Plastic Binding Combs,Binders and Binder Accessories,-305.877,South,315.45,Virginia,7.38,22102
Tysons Corner,60,Aleksandra Gannaway,Corporate,0.01,12/18/2014,50657,High,49,0.7,Furniture,Iceberg OfficeWorks 42 Round Tables,Tables,1148.23,South,7413.29,Virginia,150.98,22102
Tysons Corner,60,Aleksandra Gannaway,Corporate,0.1,12/18/2014,50657,High,16,0.35,Office Supplies,"While you Were Out Message Book, One Form per Page",Paper,0.94,South,60.02,Virginia,3.71,22102
Oakton,43,Lynn Smith,Corporate,0.02,10/29/2012,22628,Medium,30,0.57,Furniture,Bevis Steel Folding Chairs,Chairs & Chairmats,-1111.45,South,2951.7,Virginia,95.95,22124
Oakton,55,Lynn Smith,Corporate,0.02,4/25/2014,59271,Not Specified,40,0.43,Office Supplies,"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",Appliances,-186.77,South,630.38,Virginia,14.81,22124
Oakton,55,Lynn Smith,Corporate,0.02,4/25/2014,59271,Not Specified,23,0.36,Office Supplies,Xerox 1992,Paper,-37.04,South,144.03,Virginia,5.98,22124
Winchester,46,Pauline Johnson,Corporate,0.04,2/8/2013,30625,Critical,37,0.38,Office Supplies,GBC ProClick Spines for 32-Hole Punch,Binders and Binder Accessories,10.557,South,478.94,Virginia,12.53,22601
Winchester,46,Pauline Johnson,Corporate,0.06,2/8/2013,30625,Critical,24,0.79,Furniture,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,Office Furnishings,-20.67,South,2429.09,Virginia,105.29,22601
Winchester,46,Pauline Johnson,Corporate,0.04,2/24/2013,48609,High,5,0.46,Office Supplies,"Sanford Prismacolor® Professional Thick Lead Art Pencils, 36-Color Set",Pens & Art Supplies,4.16,South,186.5,Virginia,37.44,22601
Winchester,46,Pauline Johnson,Corporate,0,2/24/2013,48609,High,26,0.37,Office Supplies,Xerox 213,Paper,-103.32,South,176.34,Virginia,6.48,22601
Harrisonburg,45,Lisa DeCherney,Corporate,0.03,12/21/2012,3458,High,41,0.42,Technology,"Memorex 4.7GB DVD+R, 3/Pack",Computer Peripherals,222.08,South,627.91,Virginia,15.28,22801
Harrisonburg,45,Lisa DeCherney,Corporate,0.09,12/21/2012,3458,High,28,0.56,Office Supplies,Newell 326,Pens & Art Supplies,-3.83,South,46.89,Virginia,1.76,22801
Harrisonburg,50,Laurel Elliston,Corporate,0.06,10/18/2013,54146,Low,3,0.55,Technology,Fuji 5.2GB DVD-RAM,Computer Peripherals,-112.64,South,124.75,Virginia,40.96,22801
Harrisonburg,57,Lisa DeCherney,Corporate,0.1,9/2/2014,8578,High,40,0.41,Furniture,Staples 10 Round Wall Clock,Office Furnishings,-1.79,South,366.87,Virginia,9.74,22801
Waynesboro,57,Phillip Breyer,Corporate,0.08,9/12/2014,59171,Medium,39,0.56,Office Supplies,Newell 340,Pens & Art Supplies,9.11,South,105.07,Virginia,2.88,22980
Mechanicsville,45,Liz MacKendrick,Corporate,0.04,12/26/2012,32101,Low,48,0.56,Furniture,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Chairs & Chairmats,3799.59,South,14567.15,Virginia,291.73,23111
Mechanicsville,50,Liz MacKendrick,Corporate,0.05,10/20/2013,23106,Medium,35,0.56,Technology,Okidata ML591 Wide Format Dot Matrix Printer,Office Machines,8612.11,South,25313.34,Virginia,810.98,23111
Mechanicsville,55,Liz MacKendrick,Corporate,0.05,5/2/2014,32929,Low,8,0.38,Office Supplies,Staples Standard Envelopes,Envelopes,4.81,South,44.56,Virginia,5.68,23111
Mechanicsville,55,Liz MacKendrick,Corporate,0.09,5/2/2014,32929,Low,13,0.58,Office Supplies,Portable Personal File Box,Storage & Organization,-26.87,South,152.14,Virginia,12.21,23111
Mechanicsville,59,Liz MacKendrick,Corporate,0.08,11/26/2014,21731,Low,26,0.59,Office Supplies,Euro Pro Shark Stick Mini Vacuum,Appliances,-750.82,South,1580.57,Virginia,60.98,23111
Mechanicsville,66,Liz MacKendrick,Corporate,0,7/2/2015,37313,Not Specified,44,0.78,Furniture,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",Office Furnishings,-634.49,South,3304.38,Virginia,70.71,23111
Mechanicsville,66,Liz MacKendrick,Corporate,0.07,7/2/2015,37313,Not Specified,17,0.58,Technology,V 3600 Series,Telephones and Communication,-71.192,South,908.412,Virginia,65.99,23111
Virginia Beach,45,Pauline Johnson,Corporate,0,2/4/2013,10630,Medium,44,0.61,Furniture,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Bookcases,-513.76,South,2773.84,Virginia,58.14,23464
Norfolk,42,Lynn Smith,Corporate,0.07,8/26/2012,21985,Critical,1,0.59,Furniture,Hon GuestStacker Chair,Chairs & Chairmats,-132.74,South,255.83,Virginia,226.67,23518
Norfolk,42,Lynn Smith,Corporate,0.08,8/26/2012,21985,Critical,45,0.78,Office Supplies,"Tennsco Lockers, Gray",Storage & Organization,-2175.09,South,947.66,Virginia,20.98,23518
Norfolk,46,Lynn Smith,Corporate,0.04,2/20/2013,4739,Low,16,0.58,Office Supplies,Newell 338,Pens & Art Supplies,4.21,South,48.57,Virginia,2.94,23518
Norfolk,54,Lynn Smith,Corporate,0.05,4/19/2014,21799,Not Specified,42,0.58,Office Supplies,12 Colored Short Pencils,Pens & Art Supplies,-53.35,South,115.99,Virginia,2.6,23518
Newport News,47,Liz MacKendrick,Corporate,0.03,5/2/2013,51488,High,31,0.58,Office Supplies,Eureka The Boss® Cordless Rechargeable Stick Vac,Appliances,119.92,South,1561.96,Virginia,50.98,23602
Newport News,48,Liz MacKendrick,Corporate,0.08,6/20/2013,58273,High,31,0.61,Technology,"Imation 3.5, RTS 247544 3M 3.5 DSDD, 10/Pack",Computer Peripherals,-61.14,South,244.9,Virginia,8.46,23602
Newport News,51,Liz MacKendrick,Corporate,0.07,11/17/2013,40775,Low,23,0.43,Furniture,"DAX Copper Panel Document Frame, 5 x 7 Size",Office Furnishings,61.69,South,279.63,Virginia,12.58,23602
Newport News,55,Liz MacKendrick,Corporate,0.01,6/1/2014,57059,Medium,50,0.38,Office Supplies,Ibico Presentation Index for Binding Systems,Binders and Binder Accessories,-154.629,South,212.12,Virginia,3.98,23602
Newport News,55,Liz MacKendrick,Corporate,0.03,6/1/2014,57059,Medium,25,0.36,Office Supplies,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",Labels,1361.88,South,2455.54,Virginia,98.31,23602
Newport News,56,Liz MacKendrick,Corporate,0.03,7/28/2014,47271,Medium,44,0.64,Technology,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Computer Peripherals,-142.02,South,221.42,Virginia,4.98,23602
Hampton,51,Laurel Elliston,Corporate,0.04,11/1/2013,43745,Low,1,0.38,Office Supplies,"Acco Clips to Go™ Binder Clips, 24 Clips in Two Sizes",Rubber Bands,-4.91,South,4.97,Virginia,3.55,23666
Hampton,51,Laurel Elliston,Corporate,0.07,11/1/2013,43745,Low,5,0.5,Office Supplies,3M Office Air Cleaner,Appliances,-15.17,South,128.59,Virginia,25.98,23666
Hampton,52,Laurel Elliston,Corporate,0.02,12/21/2013,45924,Low,1,0.39,Office Supplies,Large Capacity Hanging Post Binders,Binders and Binder Accessories,-11.7645,South,27.44,Virginia,24.95,23666
Salem,68,Alan Hwang,Corporate,0.05,8/26/2015,20933,High,45,0.8,Technology,Accessory6,Telephones and Communication,-81.565,South,2079.474,Virginia,55.99,24153
Rose Hill,51,Deanra Eno,Corporate,0.01,11/14/2013,2048,Critical,12,0.57,Office Supplies,3.6 Cubic Foot Counter Height Office Refrigerator,Appliances,637.93,South,3752.61,Virginia,294.62,24281
Rose Hill,51,Deanra Eno,Corporate,0.1,11/14/2013,2048,Critical,9,0.56,Office Supplies,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,Appliances,78.63,South,548.36,Virginia,60.97,24281
Rose Hill,71,Christine Abelman,Corporate,0.01,10/24/2015,5378,Critical,6,0.6,Furniture,Eldon Expressions Mahogany Wood Desk Collection,Office Furnishings,-11.98,South,54.28,Virginia,6.24,24281
Rose Hill,74,Deanra Eno,Corporate,0.07,11/20/2015,1796,High,43,0.38,Office Supplies,"ACCOHIDE® 3-Ring Binder, Blue, 1",Binders and Binder Accessories,-125.4075,South,183.41,Virginia,4.13,24281
Lynchburg,81,Lisa DeCherney,Corporate,0.01,12/20/2015,54791,High,27,0.53,Furniture,Ultra Commercial Grade Dual Valve Door Closer,Office Furnishings,514.45,South,1087.58,Virginia,39.89,24501
Lynchburg,81,Lisa DeCherney,Corporate,0.07,12/20/2015,54791,High,42,0.82,Office Supplies,Tennsco Regal Shelving Units,Storage & Organization,-892.03,South,4273.35,Virginia,101.41,24501
Danville,47,Laurel Elliston,Corporate,0.08,5/3/2013,12900,High,50,0.48,Furniture,Nu-Dell Executive Frame,Office Furnishings,100.04,South,627.12,Virginia,12.64,24541
Danville,47,Laurel Elliston,Corporate,0.08,5/3/2013,12900,High,18,0.56,Technology,Okidata ML184 Turbo Dot Matrix Printers,Office Machines,308.22,South,4096.21,Virginia,306.14,24541
Huntington,44,Jason Fortune,Corporate,0.01,11/11/2012,21922,High,17,0.6,Furniture,Global Troy™ Executive Leather Low-Back Tilter,Chairs & Chairmats,2383.42,East,8937.38,West Virginia,500.98,25705
Huntington,44,Jason Fortune,Corporate,0.08,11/11/2012,21922,High,11,0.48,Furniture,DAX Solid Wood Frames,Office Furnishings,10.58,East,108.85,West Virginia,9.77,25705
Huntington,44,Jason Fortune,Corporate,0.09,11/11/2012,21922,High,49,0.59,Office Supplies,Newell 329,Pens & Art Supplies,8.07,East,157.47,West Virginia,3.28,25705
Huntington,47,Jason Fortune,Corporate,0.08,5/21/2013,27205,Not Specified,12,0.68,Technology,"Imation 3.5 DS-HD Macintosh Formatted Diskettes, 10/Pack",Computer Peripherals,-43.65,East,87.11,West Virginia,7.28,25705
Huntington,54,Jason Fortune,Corporate,0.08,4/17/2014,39492,Not Specified,40,0.4,Office Supplies,Xerox 199,Paper,-134.76,East,169.48,West Virginia,4.28,25705
Huntington,54,Jason Fortune,Corporate,0.03,4/17/2014,39492,Not Specified,38,0.77,Technology,Keytronic Designer 104- Key Black Keyboard,Computer Peripherals,-564.06,East,1541.92,West Virginia,40.48,25705
Wheeling,46,Dave Brooks,Corporate,0.07,3/13/2013,29957,Critical,31,0.37,Office Supplies,Xerox 1885,Paper,576.39,East,1447.62,West Virginia,48.04,26003
Morgantown,44,Candace McMahon,Corporate,0.03,12/14/2012,38400,Not Specified,8,0.54,Furniture,DAX Wood Document Frame.,Office Furnishings,28.08,East,114.73,West Virginia,13.73,26501
Morgantown,46,Candace McMahon,Corporate,0.09,2/26/2013,27461,Critical,40,0.39,Office Supplies,Avery 507,Labels,51.23,East,121.92,West Virginia,2.88,26501
Morgantown,46,Candace McMahon,Corporate,0.01,2/26/2013,27461,Critical,26,0.36,Office Supplies,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Paper,110.78,East,1096.17,West Virginia,40.99,26501
Morgantown,48,Candace McMahon,Corporate,0.09,7/4/2013,55140,Critical,39,0.5,Office Supplies,Harmony HEPA Quiet Air Purifiers,Appliances,-84.19,East,438.8,West Virginia,11.7,26501
Morgantown,49,Cari MacIntyre,Corporate,0.03,8/13/2013,35878,Medium,11,0.36,Office Supplies,Xerox 1893,Paper,48.88,East,485.46,West Virginia,40.99,26501
Morgantown,58,Cari MacIntyre,Corporate,0.01,11/13/2014,16260,High,47,0.71,Furniture,Bretford CR8500 Series Meeting Room Furniture,Tables,-969.048366,East,14960.096,West Virginia,400.98,26501
Fairmont,56,Grant Carroll,Corporate,0.09,7/4/2014,57447,Not Specified,39,0.61,Technology,"Imation 3.5, RTS 247544 3M 3.5 DSDD, 10/Pack",Computer Peripherals,-60.4,East,315.88,West Virginia,8.46,26554
Fairmont,56,Grant Carroll,Corporate,0.06,7/4/2014,57447,Not Specified,8,0.79,Technology,Logitech Internet Navigator Keyboard,Computer Peripherals,-113.6,East,258.11,West Virginia,30.98,26554
Fairmont,59,Grant Carroll,Corporate,0.01,11/29/2014,49477,Medium,9,0.36,Office Supplies,"Rediform Wirebound Phone Memo Message Book, 11 x 5-3/4",Paper,-16.56,East,75.94,West Virginia,7.64,26554
Fairmont,64,Grant Carroll,Corporate,0.07,4/27/2015,38498,Critical,30,0.49,Technology,"Verbatim DVD-R, 4.7GB, Spindle, WE, Blank, Ink Jet/Thermal, 20/Spindle",Computer Peripherals,1070.18,East,3295.15,West Virginia,115.79,26554
Fairmont,64,Grant Carroll,Corporate,0.02,4/27/2015,38498,Critical,1,0.46,Office Supplies,"Sanford Prismacolor® Professional Thick Lead Art Pencils, 36-Color Set",Pens & Art Supplies,-15.03,East,43.9,West Virginia,37.44,26554
Asheboro,46,Jeremy Lonsdale,Corporate,0.08,4/15/2013,47524,Medium,40,0.36,Office Supplies,"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",Paper,86.44,South,245.82,North Carolina,6.45,27203
Asheboro,47,Jeremy Lonsdale,Corporate,0.1,4/25/2013,47175,Not Specified,40,0.4,Office Supplies,"Crayola Anti Dust Chalk, 12/Pack",Pens & Art Supplies,-2.31,South,70.45,North Carolina,1.82,27203
